Lecture Dates,,
"Thursday, August 29, 2019",,Overview
"Tuesday, September 3, 2019",Problem set 1,Maxwell equations
"Thursday, September 5, 2019",,Transport equations
"Tuesday, September 10, 2019",Problem set 2,Black Body radiation
"Thursday, September 12, 2019",,Simple Stellar Spectra
"Tuesday, September 17, 2019",Problem set 3,Radiation from moving charges 
"Thursday, September 19, 2019",,Radiation from moving charges II
"Tuesday, September 24, 2019",Problem set 4,Bremsstrahlung I
"Thursday, September 26, 2019",,Bremsstrahlung II 
"Tuesday, October 1, 2019",Problem set 5,Synchrotron Radiation I
"Thursday, October 3, 2019",,Synchrotron Radiation II
"Tuesday, October 8, 2019",Problem set 6,Compton processes I
"Thursday, October 10, 2019",,Compton processes II
"Tuesday, October 15, 2019",Problem set 7,Astrophysical Plasmas I
"Thursday, October 17, 2019",,Astrophysical Plasmas II
"Tuesday, October 22, 2019",Problem set 8,Hadronic Processes
"Thursday, October 24, 2019",,Radiation from nuclei
"Tuesday, October 29, 2019",Problem set 9,Supernovae and radioactivity
"Thursday, October 31, 2019",,Atomic Structure I
"Tuesday, November 5, 2019",Problem set 10,Atomic Structure II
"Thursday, November 7, 2019",,Line Emission
"Tuesday, November 12, 2019",Problem set 11,Photoabsorption
"Thursday, November 14, 2019",,Collisional Ionization
"Tuesday, November 19, 2019",Problem set 12,Line Diagnostics
"Thursday, November 21, 2019",,Molecular Structure I
"Tuesday, November 26, 2019",Problem set 13,Molecular Structure II
"Thursday, November 28, 2019",Thanksgiving,
"Tuesday, December 3, 2019",,Emission from Molecules
"Thursday, December 5, 2019",,Discussion of projects